variable,lat,lon,value
aridity_coldest-quarter,-11.5,12.0,0.9365483522415161
aridity_coldest-quarter,-11.5,12.5,0.9535506367683411
aridity_coldest-quarter,-11.5,13.0,0.9718418121337891
aridity_coldest-quarter,-11.5,13.5,0.9274458289146423
aridity_coldest-quarter,-11.5,14.0,0.8996607661247253
aridity_coldest-quarter,-11.5,14.5,0.8138917088508606
aridity_coldest-quarter,-11.5,15.0,0.3124465048313141
aridity_coldest-quarter,-11.5,15.5,0.37503698468208313
aridity_coldest-quarter,-11.5,16.0,0.19292934238910675
aridity_coldest-quarter,-11.5,16.5,0.6748961210250854
aridity_coldest-quarter,-11.5,17.0,0.33028265833854675
aridity_coldest-quarter,-11.5,17.5,0.7140530943870544
aridity_coldest-quarter,-11.5,18.0,0.5192569494247437
aridity_coldest-quarter,-11.5,18.5,0.26909035444259644
aridity_coldest-quarter,-11.5,19.0,0.22447410225868225
aridity_coldest-quarter,-11.5,19.5,0.7584437727928162
aridity_coldest-quarter,-11.5,20.0,0.5735664367675781
aridity_coldest-quarter,-11.5,20.5,0.6004266738891602
aridity_coldest-quarter,-11.5,21.0,0.6771520376205444
aridity_coldest-quarter,-11.5,21.5,0.5265718698501587
aridity_coldest-quarter,-11.5,22.0,0.5181533098220825
aridity_coldest-quarter,-11.5,22.5,0.4600500166416168
aridity_coldest-quarter,-11.5,23.0,0.34207460284233093
aridity_coldest-quarter,-11.5,23.5,0.30678948760032654
aridity_coldest-quarter,-11.5,24.0,0.5032492280006409
aridity_coldest-quarter,-11.5,24.5,0.7994219660758972
aridity_coldest-quarter,-11.5,25.0,0.8237681984901428
aridity_coldest-quarter,-11.5,25.5,0.8735028505325317
aridity_coldest-quarter,-11.5,26.0,0.89830082654953
