variable,lat,lon,slope
evaporative-fraction_coldest-quarter,-12.5,8.0,0.0005149048353944505
evaporative-fraction_coldest-quarter,-12.5,8.5,0.0005109794437885284
evaporative-fraction_coldest-quarter,-12.5,9.0,0.0005070531652087256
evaporative-fraction_coldest-quarter,-12.5,9.5,0.0005028790661266872
evaporative-fraction_coldest-quarter,-12.5,10.0,0.0004979581350371951
evaporative-fraction_coldest-quarter,-12.5,10.5,0.0004930364943685985
evaporative-fraction_coldest-quarter,-12.5,11.0,0.0004881166276477632
evaporative-fraction_coldest-quarter,-12.5,11.5,0.0006386763637974148
evaporative-fraction_coldest-quarter,-12.5,12.0,0.0009478756359645297
evaporative-fraction_coldest-quarter,-12.5,12.5,0.0012570740211577643
evaporative-fraction_coldest-quarter,-12.5,13.0,0.0015662732933248791
evaporative-fraction_coldest-quarter,-12.5,13.5,0.001525052956172398
evaporative-fraction_coldest-quarter,-12.5,14.0,0.0013670062734967186
evaporative-fraction_coldest-quarter,-12.5,14.5,0.0012089592360314868
evaporative-fraction_coldest-quarter,-12.5,15.0,0.00105067165124984
evaporative-fraction_coldest-quarter,-12.5,15.5,0.0006102419325283595
evaporative-fraction_coldest-quarter,-12.5,16.0,0.00016559385472819917
evaporative-fraction_coldest-quarter,-12.5,16.5,-0.0002790542230719612
evaporative-fraction_coldest-quarter,-12.5,17.0,-0.0005964235003505433
evaporative-fraction_coldest-quarter,-12.5,17.5,-0.000531889320839019
evaporative-fraction_coldest-quarter,-12.5,18.0,-0.00046735558481443497
evaporative-fraction_coldest-quarter,-12.5,18.5,-0.0004028217600924628
evaporative-fraction_coldest-quarter,-12.5,19.0,-0.0005777100367205484
evaporative-fraction_coldest-quarter,-12.5,19.5,-0.0009931889140889758
evaporative-fraction_coldest-quarter,-12.5,20.0,-0.0014086672592730747
evaporative-fraction_coldest-quarter,-12.5,20.5,-0.001824146846220607
evaporative-fraction_coldest-quarter,-12.5,21.0,-0.002116965573458444
evaporative-fraction_coldest-quarter,-12.5,21.5,-0.002369129941577003
evaporative-fraction_coldest-quarter,-12.5,22.0,-0.0026212942209981735
evaporative-fraction_coldest-quarter,-12.5,22.5,-0.0028682523185298552
evaporative-fraction_coldest-quarter,-12.5,23.0,-0.002347798574538458
evaporative-fraction_coldest-quarter,-12.5,23.5,-0.0018251045119194757
evaporative-fraction_coldest-quarter,-12.5,24.0,-0.0013024116910639262
evaporative-fraction_coldest-quarter,-12.5,24.5,-0.0009262414560431526
evaporative-fraction_coldest-quarter,-12.5,25.0,-0.0009703268075273151
evaporative-fraction_coldest-quarter,-12.5,25.5,-0.0010144126024984176
evaporative-fraction_coldest-quarter,-12.5,26.0,-0.0010584981313773562
evaporative-fraction_coldest-quarter,-12.5,26.5,-0.001210366863579977
evaporative-fraction_coldest-quarter,-12.5,27.0,-0.0014673867928130285
evaporative-fraction_coldest-quarter,-12.5,27.5,-0.0017244066333486918
evaporative-fraction_coldest-quarter,-12.5,28.0,-0.0019814270060686838
evaporative-fraction_coldest-quarter,-12.5,28.5,-0.0022362447565510155
evaporative-fraction_coldest-quarter,-12.5,29.0,-0.0024906929050173073
evaporative-fraction_coldest-quarter,-12.5,29.5,-0.00274514149697054
evaporative-fraction_coldest-quarter,-12.5,30.0,-0.002998434007167816
evaporative-fraction_coldest-quarter,-12.5,30.5,-0.003249096329368296
evaporative-fraction_coldest-quarter,-12.5,31.0,-0.003500319396456083
evaporative-fraction_coldest-quarter,-12.5,31.5,-0.003751542020056929
evaporative-fraction_coldest-quarter,-12.5,32.0,-0.0038235963632663092
evaporative-fraction_coldest-quarter,-12.5,32.5,-0.003347567415663174
evaporative-fraction_coldest-quarter,-12.5,33.0,-0.002871538379362651
evaporative-fraction_coldest-quarter,-12.5,33.5,-0.0023955091656673523
evaporative-fraction_coldest-quarter,-12.5,34.0,-0.0023619262058110465
evaporative-fraction_coldest-quarter,-12.5,34.5,-0.0027750659556615917
evaporative-fraction_coldest-quarter,-12.0,0.5,0.0004046506115368434
evaporative-fraction_coldest-quarter,-12.0,1.0,0.0004091067683129083
evaporative-fraction_coldest-quarter,-12.0,1.5,0.0004144605426561265
evaporative-fraction_coldest-quarter,-12.0,2.0,0.000418770880926223
evaporative-fraction_coldest-quarter,-12.0,2.5,0.00041994878223964145
evaporative-fraction_coldest-quarter,-12.0,3.0,0.0004349966489133381
evaporative-fraction_coldest-quarter,-12.0,3.5,0.0004546684878213065
evaporative-fraction_coldest-quarter,-12.0,4.0,0.0004707832066785721
evaporative-fraction_coldest-quarter,-12.0,4.5,0.0004833379671687171
evaporative-fraction_coldest-quarter,-12.0,5.0,0.0004911919434865316
evaporative-fraction_coldest-quarter,-12.0,5.5,0.00048493771325974235
evaporative-fraction_coldest-quarter,-12.0,6.0,0.0004768449635732741
evaporative-fraction_coldest-quarter,-12.0,6.5,0.00047192988651139386
evaporative-fraction_coldest-quarter,-12.0,7.0,0.00047838989467847916
evaporative-fraction_coldest-quarter,-12.0,7.5,0.0004848477741082509
evaporative-fraction_coldest-quarter,-12.0,8.0,0.0004907658412342979
evaporative-fraction_coldest-quarter,-12.0,8.5,0.000491759961559659
evaporative-fraction_coldest-quarter,-12.0,9.0,0.00048783492474328903
evaporative-fraction_coldest-quarter,-12.0,9.5,0.00048365940650304157
evaporative-fraction_coldest-quarter,-12.0,10.0,0.0004787386528083256
evaporative-fraction_coldest-quarter,-12.0,10.5,0.00047381630256062456
evaporative-fraction_coldest-quarter,-12.0,11.0,0.00046856346584501715
evaporative-fraction_coldest-quarter,-12.0,11.5,0.0005377923094090962
evaporative-fraction_coldest-quarter,-12.0,12.0,0.000682546269325983
evaporative-fraction_coldest-quarter,-12.0,12.5,0.000990709201211021
evaporative-fraction_coldest-quarter,-12.0,13.0,0.0012999077637990315
evaporative-fraction_coldest-quarter,-12.0,13.5,0.0012586881362256549
evaporative-fraction_coldest-quarter,-12.0,14.0,0.0011006413648525875
evaporative-fraction_coldest-quarter,-12.0,14.5,0.0009596134048132668
evaporative-fraction_coldest-quarter,-12.0,15.0,0.0008374645951248349
evaporative-fraction_coldest-quarter,-12.0,15.5,0.0011591065142835888
evaporative-fraction_coldest-quarter,-12.0,16.0,0.0010985607902208965
evaporative-fraction_coldest-quarter,-12.0,16.5,0.0006539128011181241
evaporative-fraction_coldest-quarter,-12.0,17.0,0.00033654325774737766
evaporative-fraction_coldest-quarter,-12.0,17.5,0.00040107699377196174
evaporative-fraction_coldest-quarter,-12.0,18.0,0.00046392831773985
evaporative-fraction_coldest-quarter,-12.0,18.5,0.0002600432684024175
evaporative-fraction_coldest-quarter,-12.0,19.0,8.264379132361638e-05
evaporative-fraction_coldest-quarter,-12.0,19.5,-6.823525542304629e-05
