eof,lat,lon,loading,variance_explained_pct
EOF1,-13.0,31.0,0.013551456853747368,99.758
EOF1,-13.0,31.5,0.01354993972927332,99.758
EOF1,-13.0,32.0,0.013548404909670353,99.758
EOF1,-13.0,32.5,0.013548009097576141,99.758
EOF1,-13.0,33.0,0.013548904098570347,99.758
EOF1,-13.0,33.5,0.013550245203077793,99.758
EOF1,-13.0,34.0,0.01355200819671154,99.758
EOF1,-13.0,34.5,0.01355366688221693,99.758
EOF1,-12.5,0.5,0.013541525229811668,99.758
EOF1,-12.5,1.0,0.013542130589485168,99.758
EOF1,-12.5,1.5,0.013542679138481617,99.758
EOF1,-12.5,2.0,0.01354296039789915,99.758
EOF1,-12.5,2.5,0.013542554341256618,99.758
EOF1,-12.5,3.0,0.013542060740292072,99.758
EOF1,-12.5,3.5,0.01354147307574749,99.758
EOF1,-12.5,4.0,0.01354032102972269,99.758
EOF1,-12.5,4.5,0.013538547791540623,99.758
EOF1,-12.5,5.0,0.01353656966239214,99.758
EOF1,-12.5,5.5,0.013534416444599628,99.758
EOF1,-12.5,6.0,0.013533107005059719,99.758
EOF1,-12.5,6.5,0.013531947508454323,99.758
EOF1,-12.5,7.0,0.013530595228075981,99.758
EOF1,-12.5,7.5,0.013529087416827679,99.758
EOF1,-12.5,8.0,0.013524645939469337,99.758
EOF1,-12.5,8.5,0.013519437052309513,99.758
EOF1,-12.5,9.0,0.013513470068573952,99.758
EOF1,-12.5,9.5,0.013508549891412258,99.758
EOF1,-12.5,10.0,0.013508432544767857,99.758
EOF1,-12.5,10.5,0.013507992029190063,99.758
EOF1,-12.5,11.0,0.013507289811968803,99.758
EOF1,-12.5,11.5,0.013516667298972607,99.758
EOF1,-12.5,12.0,0.013531948439776897,99.758
EOF1,-12.5,12.5,0.013542357832193375,99.758
EOF1,-12.5,13.0,0.013548816554248333,99.758
EOF1,-12.5,13.5,0.013555463403463364,99.758
EOF1,-12.5,14.0,0.013558327220380306,99.758
EOF1,-12.5,14.5,0.013557196594774723,99.758
EOF1,-12.5,15.0,0.01355312205851078,99.758
EOF1,-12.5,15.5,0.013554200530052185,99.758
EOF1,-12.5,16.0,0.013554566539824009,99.758
EOF1,-12.5,16.5,0.013554266653954983,99.758
EOF1,-12.5,17.0,0.013553905300796032,99.758
EOF1,-12.5,17.5,0.013554871082305908,99.758
EOF1,-12.5,18.0,0.013555662706494331,99.758
EOF1,-12.5,18.5,0.013556296937167645,99.758
EOF1,-12.5,19.0,0.013556530699133873,99.758
EOF1,-12.5,19.5,0.013556408695876598,99.758
EOF1,-12.5,20.0,0.013556159101426601,99.758
EOF1,-12.5,20.5,0.013555784709751606,99.758
EOF1,-12.5,21.0,0.013554539531469345,99.758
EOF1,-12.5,21.5,0.013552797958254814,99.758
EOF1,-12.5,22.0,0.013550782576203346,99.758
EOF1,-12.5,22.5,0.013548525050282478,99.758
EOF1,-12.5,23.0,0.013550795614719391,99.758
EOF1,-12.5,23.5,0.013552749529480934,99.758
EOF1,-12.5,24.0,0.013554353266954422,99.758
EOF1,-12.5,24.5,0.013555419631302357,99.758
EOF1,-12.5,25.0,0.013555803336203098,99.758
EOF1,-12.5,25.5,0.013556101359426975,99.758
EOF1,-12.5,26.0,0.013556314632296562,99.758
EOF1,-12.5,26.5,0.013556268997490406,99.758
EOF1,-12.5,27.0,0.01355598121881485,99.758
EOF1,-12.5,27.5,0.013555631041526794,99.758
